id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size
20240116102410,1,0,0,0,0,../GRE/data/covid,sali,1913204,2000000,350790848,1,17,201,681,1480,17700,56102,74654,341.285,1866,100,1.59618e+06,1,0,0,64,2000000
20240116102457,1,0,0,0,0,../GRE/data/covid,sali,2611373,2000000,350790848,1,17,152,468,955,11809,20856,31529,202.912,1866,100,359501,1,0,0,64,2000000
20240116102609,1,0,0,0,0,../GRE/data/covid,sali,2476865,2000000,350790848,1,18,172,496,1006,13865,44545,53866,235.051,1866,100,842117,1,0,0,64,2000000
20240116102619,1,0,0,0,0,../GRE/data/covid,sali,2295961,2000000,350790848,1,17,167,535,1068,13506,48955,67213,241.111,1866,100,881864,1,0,0,64,2000000
20240116102627,1,0,0,0,0,../GRE/data/covid,sali,2214662,2000000,350790848,1,18,170,547,1119,16663,29173,39486,247.802,1866,100,656898,1,0,0,64,2000000
20240116102952,1,0,0,0,0,../GRE/data/covid,lipp,730881,2000000,176283550,1,6,65,725,11312,19723,55171,95844,443.624,1866,100,4.02628e+06,1,0,0,64,2000000
20240116103004,1,0,0,0,0,../GRE/data/covid,lipp,2571008,2000000,176283550,1,6,48,587,1821,14046,30995,60413,236.967,1866,100,842674,1,0,0,64,2000000
20240116103020,1,0,0,0,0,../GRE/data/covid,lipp,4979739,2000000,176283550,1,7,40,311,730,12276,42602,47750,120.248,1866,100,788105,1,0,0,64,2000000
20240116103106,1,0,0,0,0,../GRE/data/covid,lipp,4240712,2000000,176283550,1,7,45,368,876,15412,77205,118386,158.817,1866,100,1.99591e+06,1,0,0,64,2000000
20240116103127,1,0,0,0,0,../GRE/data/covid,lipp,4662198,2000000,176283550,1,8,47,347,762,12167,29947,34370,123.13,1866,100,364515,1,0,0,64,2000000
20240116103142,1,0,0,0,0,../GRE/data/covid,lipp,5240937,2000000,176283550,1,7,41,292,710,10895,49258,61896,111.572,1866,100,744100,1,0,0,64,2000000
20240116103153,1,0,0,0,0,../GRE/data/covid,lipp,5075867,2000000,176283550,1,7,42,294,738,11674,30530,43529,108.219,1866,100,357900,1,0,0,64,2000000
20240116103303,1,0,0,0,0,../GRE/data/covid,sali,2074743,2000000,350790848,1,21,180,567,1188,14505,28353,39644,243.919,1866,100,548331,1,0,0,64,2000000
20240116103307,1,0,0,0,0,../GRE/data/covid,sali,2387069,2000000,350790848,1,18,170,523,1123,13062,40879,46671,235.094,1866,100,508798,1,0,0,64,2000000
20240116103310,1,0,0,0,0,../GRE/data/covid,sali,2357800,2000000,350790848,1,19,166,516,1090,14049,29057,38982,224.69,1866,100,477625,1,0,0,64,2000000
20240116103312,1,0,0,0,0,../GRE/data/covid,sali,2606343,2000000,350790848,1,17,146,468,1011,11974,45426,48934,211.768,1866,100,783212,1,0,0,64,2000000
20240116103324,1,0,0,0,0,../GRE/data/covid,sali,2265040,2000000,350790848,1,21,174,530,1123,12672,33181,38239,228.121,1866,100,485269,1,0,0,64,2000000
20240116103332,1,0,0,0,0,../GRE/data/covid,lipp,3890443,2000000,176283550,1,5,29,249,703,13499,40881,55457,115.735,1866,100,778181,1,0,0,64,2000000
